date,Close
13/01/2017,831.42
14/01/2017,828
15/01/2017,833.31
16/01/2017,834.41
17/01/2017,906
18/01/2017,887.99
19/01/2017,902.92
20/01/2017,894.31
21/01/2017,925.06
22/01/2017,931.22
23/01/2017,910.7
24/01/2017,887
25/01/2017,896
26/01/2017,917.02
27/01/2017,922.63
28/01/2017,924.98
29/01/2017,916.54
30/01/2017,923.23
31/01/2017,970.01
01/02/2017,992.75
02/02/2017,1008.38
03/02/2017,1018
04/02/2017,1035.54
05/02/2017,1016.32
06/02/2017,1022.58
07/02/2017,1053.96
08/02/2017,1056.7
09/02/2017,994.24
10/02/2017,1001.99
11/02/2017,1018.65
12/02/2017,1010
13/02/2017,1002.82
14/02/2017,1013.92
15/02/2017,1014.53
16/02/2017,1038.94
17/02/2017,1057.3
18/02/2017,1062.15
19/02/2017,1059.88
20/02/2017,1089.82
21/02/2017,1128.29
22/02/2017,1128.71
23/02/2017,1186.9
24/02/2017,1186.91
25/02/2017,1158
26/02/2017,1184.91
27/02/2017,1195.81
28/02/2017,1195.08
01/03/2017,1230
02/03/2017,1269.17
03/03/2017,1292.86
04/03/2017,1273.97
05/03/2017,1278.98
06/03/2017,1284.99
07/03/2017,1237.36
08/03/2017,1150.22
09/03/2017,1197.3
10/03/2017,1109.01
11/03/2017,1188.11
12/03/2017,1235.58
13/03/2017,1245.49
14/03/2017,1247.42
15/03/2017,1263
16/03/2017,1175.11
17/03/2017,1069.57
18/03/2017,970
19/03/2017,1019.49
20/03/2017,1044.96
21/03/2017,1114.42
22/03/2017,1034.57
23/03/2017,1025.14
24/03/2017,934.87
25/03/2017,963.72
26/03/2017,973.08
27/03/2017,1042.08
28/03/2017,1045.4
29/03/2017,1043.27
30/03/2017,1042.34
31/03/2017,1088.99
01/04/2017,1092
02/04/2017,1113.99
03/04/2017,1152.6
04/04/2017,1143.99
05/04/2017,1132.99
06/04/2017,1192.3
07/04/2017,1194
08/04/2017,1184.5
09/04/2017,1210.97
10/04/2017,1210
11/04/2017,1223.99
12/04/2017,1214.17
13/04/2017,1177.05
14/04/2017,1173.74
15/04/2017,1178.85
16/04/2017,1177.99
17/04/2017,1189.91
18/04/2017,1201.94
19/04/2017,1214.21
20/04/2017,1236.15
21/04/2017,1249.99
22/04/2017,1247
23/04/2017,1251.98
24/04/2017,1257.29
25/04/2017,1281.16
26/04/2017,1298.44
27/04/2017,1349.26
28/04/2017,1353.34
29/04/2017,1365.43
30/04/2017,1384.55
01/05/2017,1436.5
02/05/2017,1471.99
03/05/2017,1533
04/05/2017,1563.39
05/05/2017,1551.3
06/05/2017,1585.39
07/05/2017,1609.57
08/05/2017,1713
09/05/2017,1720.43
10/05/2017,1794.99
11/05/2017,1837.93
12/05/2017,1695.61
13/05/2017,1792.73
14/05/2017,1799.99
15/05/2017,1747.81
16/05/2017,1777.48
17/05/2017,1813.23
18/05/2017,1899.16
19/05/2017,1976.23
20/05/2017,2058.91
21/05/2017,2057
22/05/2017,2123.29
23/05/2017,2272.75
24/05/2017,2432.97
25/05/2017,2355
26/05/2017,2272.7
27/05/2017,2099.99
28/05/2017,2232.78
29/05/2017,2279.48
30/05/2017,2191.58
31/05/2017,2303.29
01/06/2017,2419.99
02/06/2017,2478.99
03/06/2017,2548.05
04/06/2017,2521.36
05/06/2017,2698
06/06/2017,2871.29
07/06/2017,2685.64
08/06/2017,2799.73
09/06/2017,2811.39
10/06/2017,2931.15
11/06/2017,2998.98
12/06/2017,2655.71
13/06/2017,2709.01
14/06/2017,2432.21
15/06/2017,2409.98
16/06/2017,2480.43
17/06/2017,2634.94
18/06/2017,2515.25
19/06/2017,2596.98
20/06/2017,2725.08
21/06/2017,2643.35
22/06/2017,2679.99
23/06/2017,2690.76
24/06/2017,2574.84
25/06/2017,2505.61
26/06/2017,2407.91
27/06/2017,2575.75
28/06/2017,2553.12
29/06/2017,2530
30/06/2017,2455.19
01/07/2017,2423.63
02/07/2017,2516.66
03/07/2017,2542.41
04/07/2017,2602
05/07/2017,2616.96
06/07/2017,2604.84
07/07/2017,2501.15
08/07/2017,2561.11
09/07/2017,2508.99
10/07/2017,2331.05
11/07/2017,2310.01
12/07/2017,2383.42
13/07/2017,2340
14/07/2017,2217.24
15/07/2017,1964.31
16/07/2017,1911.78
17/07/2017,2235.19
18/07/2017,2308.15
19/07/2017,2258.99
20/07/2017,2873.48
21/07/2017,2657.45
22/07/2017,2825.27
23/07/2017,2754.28
24/07/2017,2762.26
25/07/2017,2564
26/07/2017,2525.99
27/07/2017,2664.99
28/07/2017,2786.07
29/07/2017,2700.21
30/07/2017,2723.99
31/07/2017,2856.88
01/08/2017,2732.59
02/08/2017,2699.9
03/08/2017,2787.02
04/08/2017,2857.34
05/08/2017,3243.49
06/08/2017,3222.22
07/08/2017,3398.23
08/08/2017,3422.43
09/08/2017,3342.8
10/08/2017,3444.98
11/08/2017,3656.15
12/08/2017,3874
13/08/2017,4060.47
14/08/2017,4320.6
15/08/2017,4159.93
16/08/2017,4370.01
17/08/2017,4280.01
18/08/2017,4101.72
19/08/2017,4157.41
20/08/2017,4050.99
21/08/2017,4002
22/08/2017,4092
23/08/2017,4143.49
24/08/2017,4312.03
25/08/2017,4360
26/08/2017,4344.32
27/08/2017,4340.11
28/08/2017,4384.99
29/08/2017,4599
30/08/2017,4581.98
31/08/2017,4743.94
01/09/2017,4947.99
02/09/2017,4649.99
03/09/2017,4626.05
04/09/2017,4498.25
05/09/2017,4432.51
06/09/2017,4616.18
07/09/2017,4624.18
08/09/2017,4350
09/09/2017,4334.36
10/09/2017,4251.36
11/09/2017,4210.72
12/09/2017,4164.52
13/09/2017,3855.32
14/09/2017,3250.4
15/09/2017,3740.02
16/09/2017,3726.51
17/09/2017,3719.97
18/09/2017,4100
19/09/2017,3910.11
20/09/2017,3872.06
21/09/2017,3617.47
22/09/2017,3619.01
23/09/2017,3787.33
24/09/2017,3669.01
25/09/2017,3919.78
26/09/2017,3885.09
27/09/2017,4200
28/09/2017,4189.42
29/09/2017,4156.99
30/09/2017,4339
01/10/2017,4394.81
02/10/2017,4392.71
03/10/2017,4307.99
04/10/2017,4214.84
05/10/2017,4320.04
06/10/2017,4362.99
07/10/2017,4425
08/10/2017,4603.49
09/10/2017,4769.55
10/10/2017,4750
11/10/2017,4814.99
12/10/2017,5440
13/10/2017,5624.8
14/10/2017,5819.13
15/10/2017,5693.7
16/10/2017,5754.9
17/10/2017,5594
18/10/2017,5574.44
19/10/2017,5704.01
20/10/2017,5989.1
21/10/2017,6024.86
22/10/2017,6005.05
23/10/2017,5905.99
24/10/2017,5525.43
25/10/2017,5739.97
26/10/2017,5891.61
27/10/2017,5780
28/10/2017,5752.01
29/10/2017,6140.01
30/10/2017,6124.16
31/10/2017,6445.01
01/11/2017,6783.69
02/11/2017,7039.98
03/11/2017,7170.01
04/11/2017,7412.55
05/11/2017,7392
06/11/2017,6969.76
07/11/2017,7126.63
08/11/2017,7467.96
09/11/2017,7156
10/11/2017,6577.62
11/11/2017,6346.7
12/11/2017,5886.35
13/11/2017,6535.87
14/11/2017,6605
15/11/2017,7294
16/11/2017,7838.53
17/11/2017,7714.71
18/11/2017,7777.01
19/11/2017,8031.82
20/11/2017,8256.01
21/11/2017,8109
22/11/2017,8250
23/11/2017,8031.16
24/11/2017,8215.01
25/11/2017,8795.5
26/11/2017,9401.11
27/11/2017,9768.71
28/11/2017,9949
29/11/2017,9935.98
30/11/2017,9903
01/12/2017,10869.84
02/12/2017,10930.24
03/12/2017,11290
04/12/2017,11643.98
05/12/2017,11718.35
06/12/2017,14090
07/12/2017,17390.01
08/12/2017,16367.03
09/12/2017,15309.98
10/12/2017,15290.01
11/12/2017,16885.76
12/12/2017,17730.12
13/12/2017,16689.61
14/12/2017,16749.78
15/12/2017,17738.67
16/12/2017,19650.01
17/12/2017,19378.99
18/12/2017,19039.01
19/12/2017,17838.73
20/12/2017,16496.89
21/12/2017,15758.8
22/12/2017,14210.57
23/12/2017,15075.89
24/12/2017,14221.94
25/12/2017,14171.98
26/12/2017,15790.88
27/12/2017,15367.08
28/12/2017,14450.01
29/12/2017,14565.05
30/12/2017,12839.99
31/12/2017,13863.13
01/01/2018,13480.01
02/01/2018,14781.51
03/01/2018,15098.14
04/01/2018,15144.99
05/01/2018,16960.01
06/01/2018,17098.99
07/01/2018,16174.22
08/01/2018,14993.74
09/01/2018,14480.99
10/01/2018,14875.18
11/01/2018,13308.06
12/01/2018,13820
13/01/2018,14187.95
14/01/2018,13656.23
